timestamp, speed: METERS_PER_SEC, lat, long
1555233315002, 0, 32.747367, -117.139968
1555233315001, 0, 32.747367, -117.139968
1555233013002, 0, 32.747367, -117.139968
1555233013001, 9.542246302823303, 32.747367, -117.139968
1555232983002, 0, 32.747367, -117.139968
1555232983001, 13.351743362670446, 32.747367, -117.139968
1555232893002, 0, 32.747367, -117.139968
1555232893001, 12.909757214970382, 32.747367, -117.139968
1555231959002, 0, 32.747367, -117.139968
1555231959001, 10.678552761211854, 32.747367, -117.139968
1555231687002, 0, 32.747367, -117.139968
1555231687001, 11.741445718464057, 32.747367, -117.139968
1555231174002, 0, 32.747367, -117.139968
1555231174001, 0, 32.747367, -117.139968
1555230614002, 0, 32.747367, -117.139968
1555230614001, 0, 32.747367, -117.139968
1555229891002, 0, 32.747367, -117.139968
1555229891001, 0, 32.747367, -117.139968
1555229559002, 0, 32.747367, -117.139968
1555229559001, 0, 32.747367, -117.139968
1555229439002, 0, 32.747367, -117.139968
1555229439001, 8.217153661962968, 32.747367, -117.139968
1555229409002, 0, 32.747367, -117.139968
1555229409001, 0, 32.747367, -117.139968
1555228776002, 0, 32.747367, -117.139968
1555228776001, 8.676432200664173, 32.747367, -117.139968
1555228685002, 0, 32.747367, -117.139968
1555228685001, 5.8491881526968275, 32.747367, -117.139968
1555228655002, 0, 32.747367, -117.139968
1555228655001, 2.674154354545352, 32.747367, -117.139968
1555228203002, 0, 32.747367, -117.139968
1555228203001, 0, 32.747367, -117.139968
1555227811002, 0, 32.747367, -117.139968
1555227811001, 0, 32.747367, -117.139968
1555227720002, 0, 32.747367, -117.139968
1555227720001, 8.54814493702714, 32.747367, -117.139968
1555227479002, 0, 32.747367, -117.139968
1555227479001, 0, 32.747367, -117.139968
1555226273002, 0, 32.747367, -117.139968
1555226273001, 0, 32.747367, -117.139968
1555226032002, 0, 32.747367, -117.139968
1555226032001, 0, 32.747367, -117.139968
1555225701002, 0, 32.747367, -117.139968
1555225701001, 5.998486286324796, 32.747367, -117.139968
1555225459002, 0, 32.747367, -117.139968
1555225459001, 0, 32.747367, -117.139968
1555225399002, 0, 32.747367, -117.139968
1555225399001, 0, 32.747367, -117.139968
1555225068002, 0, 32.747367, -117.139968
1555225068001, 0, 32.747367, -117.139968
1555224917002, 0, 32.747367, -117.139968
1555224917001, 0, 32.747367, -117.139968
1555224525002, 0, 32.747367, -117.139968
1555224525001, 0, 32.747367, -117.139968
1555224374002, 0, 32.747367, -117.139968
1555224374001, 6.3593809072405945, 32.747367, -117.139968
1555224103002, 0, 32.747367, -117.139968
1555224103001, 10.452800549709202, 32.747367, -117.139968
1555224073002, 0, 32.747367, -117.139968
1555224073001, 0, 32.747367, -117.139968
