  timestamp, speed, lat, long
1555233126001, 6.606120507491875, 32.71143062, -117.1600173
1555233096001, 5.530225990285945, 32.71143062, -117.1600173
1555233005001, 5.033378194737769, 32.71143062, -117.1600173
1555232915001, 3.039343683976588, 32.71143062, -117.1600173
1555232885001, 3.58948036601777, 32.71143062, -117.1600173
1555232824001, 5.675086681800224, 32.71143062, -117.1600173
1555232794001, 6.705241502465031, 32.71143062, -117.1600173
1555232764001, 5.880676644153994, 32.71143062, -117.1600173
1555232704001, 5.817040241394434, 32.71143062, -117.1600173
1555232674001, 6.72053729734053, 32.71143062, -117.1600173
1555232583001, 2.8355420049548585, 32.71143062, -117.1600173
1555232493001, 5.865602043927221, 32.71143062, -117.1600173
1555232432001, 5.898466315591477, 32.71143062, -117.1600173
1555232402001, 5.221017111055604, 32.71143062, -117.1600173
1555232372001, 6.247477399232427, 32.71143062, -117.1600173
1555232311001, 6.162980389245361, 32.71143062, -117.1600173
1555232220001, 6.787658435941659, 32.71143062, -117.1600173
1555232190001, 3.952112747463248, 32.71143062, -117.1600173
1555232129001, 5.009513690689273, 32.71143062, -117.1600173
1555231816001, 3.7624657493278457, 32.71143062, -117.1600173
1555231786001, 5.261881763293679, 32.71143062, -117.1600173
1555231695001, 4.733136912505816, 32.71143062, -117.1600173
1555231664001, 4.721073114867413, 32.71143062, -117.1600173
1555231634001, 3.792151403722683, 32.71143062, -117.1600173
1555231604001, 5.497651857351985, 32.71143062, -117.1600173
1555231574001, 3.7558608805092053, 32.71143062, -117.1600173
1555231544001, 7.161572031209116, 32.71143062, -117.1600173
1555231483001, 3.6536950436182605, 32.71143062, -117.1600173
1555231453001, 5.149744786375237, 32.71143062, -117.1600173
1555231423001, 4.398821722474125, 32.71143062, -117.1600173
1555231393001, 4.613513736154849, 32.71143062, -117.1600173
1555231363001, 5.196562434162232, 32.71143062, -117.1600173
1555231332001, 5.3130237491638805, 32.71143062, -117.1600173
1555231302001, 5.195177012036333, 32.71143062, -117.1600173
1555231212001, 3.7166163733961946, 32.71143062, -117.1600173
1555231181001, 6.136712010684233, 32.71143062, -117.1600173
1555231121001, 5.1353126163235645, 32.71143062, -117.1600173
1555231091001, 6.687800246471741, 32.71143062, -117.1600173
1555231060001, 7.332367850197901, 32.71143062, -117.1600173
1555231030001, 5.543700744416581, 32.71143062, -117.1600173
1555230999001, 6.254279602630553, 32.71143062, -117.1600173
1555230908001, 4.1696988910462345, 32.71143062, -117.1600173
1555230818001, 5.427563087257622, 32.71143062, -117.1600173
1555230788001, 2.562136103596475, 32.71143062, -117.1600173
1555230697001, 6.715702380870435, 32.71143062, -117.1600173
1555230606001, 4.519787531054557, 32.71143062, -117.1600173
1555230576001, 2.901965327048601, 32.71143062, -117.1600173
1555230485001, 5.249038202761614, 32.71143062, -117.1600173
1555230303001, 5.335854882924201, 32.71143062, -117.1600173
1555230273001, 6.172315191608267, 32.71143062, -117.1600173
1555230213001, 8.657718964248224, 32.71143062, -117.1600173
1555230122001, 3.572638346893585, 32.71143062, -117.1600173
1555230092001, 5.7491754789965555, 32.71143062, -117.1600173
1555229880001, 6.204320292211175, 32.71143062, -117.1600173
1555229819001, 6.520884298676691, 32.71143062, -117.1600173
1555229789001, 6.580672616172649, 32.71143062, -117.1600173
1555229729001, 5.219842750144737, 32.71143062, -117.1600173
1555229698001, 4.280577155556286, 32.71143062, -117.1600173
1555229607001, 5.073664722050778, 32.71143062, -117.1600173
1555229577001, 3.596308233994621, 32.71143062, -117.1600173
1555229517001, 7.580986055136895, 32.71143062, -117.1600173
1555229486001, 6.957224699684313, 32.71143062, -117.1600173
1555229456001, 4.291847091235278, 32.71143062, -117.1600173
1555229304001, 7.820278885454391, 32.71143062, -117.1600173
1555229274001, 5.308360249742272, 32.71143062, -117.1600173
1555229244001, 4.398889874553719, 32.71143062, -117.1600173
1555229214001, 7.5133199633682, 32.71143062, -117.1600173
1555229183001, 3.311838704031028, 32.71143062, -117.1600173
1555229002001, 4.635311213467658, 32.71143062, -117.1600173
1555228972001, 6.182331862471289, 32.71143062, -117.1600173
1555228820001, 4.768101129154778, 32.71143062, -117.1600173
1555228699001, 5.1558257632500215, 32.71143062, -117.1600173
1555228669001, 3.013545786721372, 32.71143062, -117.1600173
1555228638001, 5.706848693011765, 32.71143062, -117.1600173
1555228608001, 5.871879672656788, 32.71143062, -117.1600173
1555228578001, 5.850837962453378, 32.71143062, -117.1600173
1555228517001, 7.402057116539516, 32.71143062, -117.1600173
1555228487001, 5.233363890332198, 32.71143062, -117.1600173
1555228396001, 5.059781645613169, 32.71143062, -117.1600173
1555228305001, 6.249062807734432, 32.71143062, -117.1600173
1555228214001, 4.007004957250136, 32.71143062, -117.1600173
1555228184001, 4.318060601516068, 32.71143062, -117.1600173
1555228123001, 5.185767690113956, 32.71143062, -117.1600173
1555228093001, 5.155062244654631, 32.71143062, -117.1600173
1555228032001, 7.0291720706790395, 32.71143062, -117.1600173
1555227972001, 5.548746316861385, 32.71143062, -117.1600173
1555227911001, 5.524038926661756, 32.71143062, -117.1600173
1555227881001, 6.152579815442142, 32.71143062, -117.1600173
1555227820001, 7.112859161997292, 32.71143062, -117.1600173
1555227790001, 6.004106678037991, 32.71143062, -117.1600173
1555227759001, 2.893833989212239, 32.71143062, -117.1600173
1555227729001, 5.762951067877657, 32.71143062, -117.1600173
1555227639001, 7.964525868245925, 32.71143062, -117.1600173
1555227518001, 4.177633057706943, 32.71143062, -117.1600173
1555227488001, 5.608900095378652, 32.71143062, -117.1600173
